S&atilde;o Paulo | Todos os Munic&iacute;pios,,,,,,,,,,,,
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2020],Popula&ccedil;&atilde;o estimada - pessoas [2020],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2018]
Biritiba Mirim,3506607,biritibano,CARLOS ALBERTO TAINO JUNIOR,317.406,32936,90.03,97.7,712,15.23,6.800.667.889,6.401.243.166,21320.35
Boa Esperan&ccedil;a do Sul,3506706,boa-esperancense,JOS&Eacute; MANOEL DE SOUZA,690.748,15018,19.75,96,681,17.65,5.160.480.184,4.019.062.552,20877.23
Bocaina,3506805,bocainense,MARCO ANTONIO GIRO,363.926,12452,29.84,99.3,742,32.00,3.793.181.899,3.744.281.588,17819.21
Bofete,3506904,bofetense,CLAUDECIO JOSE EBURNEO,653.541,11921,14.72,95.1,705,08.06,3.859.894.168,3.295.507.294,16223.00
Boituva,3507001,boituvense,EDSON JOS&Eacute; MARCUSSO,248.954,62170,194.07,98.7,780,11.10,19.805.702.674,19.051.618.094,39829.36
Bom Jesus dos Perd&otilde;es,3507100,perdoense,BENEDITO RODRIGUES DA SILVA FILHO,108.366,25985,181.87,97.7,713,12.16,8.225.802.662,6.784.087.637,36485.98
Bom Sucesso de Itarar&eacute;,3507159,bom sucessiense,VANDERLEIA APARECIDA DOS SANTOS SOUZA,133.578,3984,26.73,98.3,660,14.29,1.685.496.935,1.489.340.022,15972.41
Bor&aacute;,3507209,boraense,LUIZ CARLOS RODRIGUES,118.951,838,6.80,94.6,746,-,1.270.199.598,977.339.024,84796.15
Borac&eacute;ia,3507308,boraceense,VALDIR DE SOUZA MELO,122.110,4868,34.95,99.3,754,18.18,2.463.933.308,222.448.319,80228.55
Borborema,3507407,borboremense,VLADIMIR ANTONIO ADABO,552.256,16164,26.31,98.3,730,13.25,4.743.325.277,4.163.090.222,23374.91
