genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Ascarites,rufferi,242.000,235.000,1,1,0.1250
Asiatoceratodus,tiguidiensis,155.700,145.500,1,0,NaN
Asio,stygius,0.02798,0.0255,1,1,0.0064
Asmithwoodwardia,scotti,58.700,48.600,1,0,NaN
Aspidoceras,sp.,164.700,155.700,2,0,NaN
Astacolus,sp.,84.900,66.043,1,0,NaN
Astarte,sp.,164.700,161.200,2,0,NaN
Astegotherium,sp.,37.200,33.900,2,1,0.0250
Asterias,dugratii,11.608,7.246,1,0,NaN
Asteromys,bolivianus,24.93,24.79,7,0,NaN
Asterosmilia,compressa,23.030,15.970,1,0,NaN
Asterostemma,sp.,11.608,7.246,1,0,NaN
Astraca,sp.,23.030,15.970,1,0,NaN
Astrapotherium,christi,17.500,16.300,1,0,NaN
Astrapotherium,sp.,13.800,11.800,1,0,NaN
Astyanax,sp.,28.400,23.030,1,0,NaN
Atacamatitan,chilensis,99.700,66.043,1,1,1.0000
Athene,cunicularia,0.02798,0.0255,1,1,0.0446
Atlanticopristis,equatorialis,105.300,94.300,1,1,0.5556
Atlantisia,elpenor,0.012,0.000,4,0,NaN
Atocetus,iquensis,13.650,11.608,1,0,NaN
Atolchelys,lepida,130.000,125.450,1,1,1.0000
Aturia,ackermanii,23.030,15.970,2,0,NaN
Aurila,sp.,70.600,66.043,1,0,NaN
Australerpeton,cosgriffi,268.000,254.000,2,1,1.0000
Australithax,intermedia,11.608,7.246,1,0,NaN
Australogale,leptognathus,13.2,12.9,1,0,NaN
Australonyx,aquae,0.781,0.012,1,0,NaN
Australophoca,changorum,7.5,7.3,1,1,0.1111
Austroposeidon,magnificus,84.900,66.043,1,0,NaN
Axelrodichthys,sp.,122.460,109.000,1,1,0.5000
Aylacostoma,browni,15.970,5.332,1,0,NaN
Ayllusuchus,fernandezi,48.600,37.200,1,1,1.0000
Aymaratherium,jeani,,,1,0,NaN
Bageherpeton,longignathus,272.500,259.000,1,1,1.0000
Bagre,sp.,11.608,7.246,1,0,NaN
Bagualosaurus,agudoensis,235.000,205.600,1,1,0.2000
Baguatherium,jaureguii,31,31,2,0,NaN
Bairdemys,sanchezi,11.608,5.332,1,0,NaN
Bairdemys,thalassica,12.24,12.24,1,0,NaN
Bairdemys,venezuelensis,11.608,5.332,2,0,NaN
Bairdemys,winklerae,11.608,5.332,1,0,NaN
Balaena,dubia,11.608,7.246,1,0,NaN
Balaenoptera,musculus,1.806,0.0017,2,2,0.5774
Balaenoptera,physalus,0.012,0.000,1,0,NaN
Balaenoptera,siberi,7.5,5.332,2,2,0.0833
Balanerodus,logimus,16.300,11.800,3,0,NaN
Balanerodus,sp.,28.400,23.030,1,0,NaN
Balanophyllia,sp.,23.030,15.970,2,0,NaN
Balanus,dentivarians,23.030,15.970,1,0,NaN
Balanus,eburneus,23.030,15.970,2,0,NaN
Balanus,foliatus,11.608,7.246,1,0,NaN
Balanus,improvisus,23.030,15.970,2,0,NaN
Balanus,subconicus,11.608,7.246,1,0,NaN
Balanus,transversostriatus,23.030,15.970,1,0,NaN
Baltograptus,deflexus,478.600,471.800,1,0,NaN
Baltograptus,minutus,478.600,471.800,1,0,NaN
Banguela,oberlii,112.600,109.000,1,1,0.0213
Baraguatherium,takumara,18.85,18.27,1,0,NaN
Barbatia,disclusa,23.030,15.970,3,0,NaN
Barberenasuchus,brasiliensis,242.000,235.000,1,1,0.1250
Barbosania,gracilirostris,112.600,109.000,1,1,0.0213
Barinasuchus,arveloi,13.800,11.800,1,0,NaN
Barreirosuchus,franciscoi,84.900,66.043,1,0,NaN
Bartramia,longicauda,0.126,0.012,1,0,NaN
Bathycyathus,sp.,23.030,15.970,1,0,NaN
Bathymodiolus,palmarensis,23.030,7.246,2,0,NaN
Bathysiphon,sp.,15.970,5.332,1,1,0.0098
Batrachomimus,pastosbonensis,161.200,150.800,1,0,NaN
Baurubatrachus,pricei,70.600,66.043,1,1,1.0000
Bauruemys,elegans,84.900,66.043,1,1,0.9000
