genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Eumops,sp.,12.2,12.2,1,0,NaN
Eumysops,sp.,3.600,0.012,3,0,NaN
Eunectes,sp.,16.300,7.246,2,1,0.2917
Euphagus,magnirostris,0.02798,0.0255,1,1,0.0064
Euphractus,sexcinctus,2.588,0.02,5,0,NaN
Euphylax,septendentatus,23.030,15.970,2,0,NaN
Eupodiscus,paracaensis,37.200,33.900,1,0,NaN
Euraxemys,essweini,112.600,99.700,1,1,0.5000
Eurycephalella,alcinae,122.460,112.600,1,0,NaN
Eurygenium,pacegnum,29.000,21.000,2,1,0.0494
Euryzygomatomys,hoffstetteri,2.588,0.781,1,0,NaN
Eusyringium,fistuligerum,37.200,33.900,1,0,NaN
Eusyringium,lagena,37.200,33.900,1,0,NaN
Eutatini,sp.,15.500,13.800,1,0,NaN
Eutatus,seguini,0.781,0.012,5,0,NaN
Eutreptodactylus,itaboraiensis,58.700,48.600,1,0,NaN
Evolestes,hadrommatos,24.93,24.79,2,1,0.0018
Exaeretodon,major,242.000,235.000,2,1,0.5000
Exaeretodon,riograndensis,235.000,205.600,2,2,0.3464
Falcontoxodon,aguilerai,2.588,1.81,2,0,NaN
Falcontoxodon,sp.,2.588,0.781,1,0,NaN
Falco,femoralis,0.126,0.012,1,0,NaN
Falco,peregrinus,0.02798,0.0255,2,1,0.0127
Falco,sparverius,0.02798,0.0255,1,1,0.0191
Faramea,lapidescens,23.030,15.970,1,0,NaN
Fasciolaria,restituta,23.030,15.970,1,0,NaN
Fasciolaria,senecta,23.030,15.970,1,0,NaN
Faxinalipterus,minima,221.500,205.600,1,1,0.0455
Federicoanaya,sallaensis,29.000,21.000,2,0,NaN
Feistiella,costata,70.600,66.043,1,1,0.0559
Feistiella,globosa,70.600,66.043,1,1,0.3846
Felis,platensis,2.588,0.781,2,0,NaN
Felis,yaguaroundi,2.588,0.781,1,0,NaN
Feresa,attenuata,0.012,0.000,3,0,NaN
Fiandraia,romeii,29.000,21.000,1,0,NaN
Ficus,chiraensis,37.2,35.7,2,0,NaN
Ficus,paraensis,23.030,15.970,6,0,NaN
Fissurela,immortalis,23.030,15.970,1,0,NaN
Flabellum,lyricum,23.030,15.970,6,0,NaN
Flabellum,wailesi,23.030,15.970,5,0,NaN
Florimetis,trinitaria,23.030,15.970,2,0,NaN
Fragum,proavitum,23.030,15.970,3,0,NaN
Fredszalaya,hunteri,29.000,21.000,1,0,NaN
Fregata,aquila,0.012,0.000,4,0,NaN
Fregata,magnificens,0.012,0.000,1,1,0.0026
Fregata,sp.,0.012,0.000,1,0,NaN
Fulmarus,sp.,6.35,5.47,2,0,NaN
Furcacetus,flexirostrum,20.430,15.970,1,0,NaN
Fusinus,doris,23.030,15.970,2,0,NaN
Fusinus,soperis,23.030,15.970,2,0,NaN
Fustra,sp.,23.030,15.970,1,0,NaN
Galbula,hylochoreutes,16.300,15.500,1,0,NaN
Galea,musteloides,0.0276,0.01758,1,0,NaN
Galea,sp.,0.781,0.012,1,0,NaN
Galeocerdo,aduncus,20.430,7.246,4,0,NaN
Galeocerdo,cuvieri,1.806,0.781,1,0,NaN
Galeocerdo,paulinoi,23.030,15.970,5,0,NaN
Gallinago,paraguaiae,0.02798,0.0255,1,1,0.0318
Gallinago,"sp. 2",0.02798,0.0255,1,1,0.0255
Gallinago,"sp. 3",0.02798,0.0255,1,1,0.0191
Gari,sp.,3.600,2.588,1,0,NaN
Gashternia,carioca,58.700,48.600,1,1,0.0233
Gasteroclupea,branisai,70.600,66.043,1,0,NaN
Gaylordia,macrocynodonta,58.700,48.600,1,0,NaN
Gaylordia,mater,58.700,48.600,1,0,NaN
Genidens,sp.,23.030,15.970,1,0,NaN
Geochelone,hesterna,11.608,5.332,1,0,NaN
Geochelone,sp.,0.781,0.012,2,0,NaN
Geranoaetus,melanoleucus,0.02798,0.0255,2,1,0.0064
Gerhardtia,galeatoides,130.000,125.450,1,1,0.5000
Geronogyps,reliquus,0.781,0.012,1,0,NaN
Gibbolucina,woodi,37.200,33.900,1,0,NaN
Ginglymostoma,delfortriei,23.030,15.970,1,0,NaN
Ginglymostoma,obliquum,23.030,15.970,1,0,NaN
Ginglymostoma,serra,23.030,15.970,4,0,NaN
Ginglymostoma,sp.,55.800,7.246,2,0,NaN
Globidentosuchus,brachyrostris,15.970,6.800,8,0,NaN
Globigerina,wilsoni,37.200,33.900,1,0,NaN
Globivenus,thalestris,23.030,15.970,5,0,NaN
Glossotheriopsis,pascuali,16.300,11.800,2,0,NaN
Glossotherium,emmersoni,0.781,0.012,1,0,NaN
Glossotherium,robustum,2.588,0.012,20,0,NaN
Glossotherium,sp.,2.588,0.012,4,0,NaN
Glossotherium,tarijensis,2.588,0.781,1,0,NaN
Glossotherium,tropicorum,0.781,0.012,1,0,NaN
Glycimeris,bineminis,55.800,48.600,1,0,NaN
Glycymeris,arquilloensis,48.600,37.200,2,0,NaN
Glycymeris,bineminis,23.030,15.970,6,0,NaN
Glycymeris,eumita,23.030,15.970,2,0,NaN
Glycymeris,pirabensis,23.030,15.970,3,0,NaN
Glycymeris,sp.,3.600,2.588,1,0,NaN
Glyptatelus,sp.,29.000,21.000,3,1,0.0018
Glyptodon,clavipes,2.588,0.0255,7,0,NaN
Glyptodon,perforatus,0.781,0.012,1,0,NaN
Glyptodon,reticulatus,1.200,0.02084,8,0,NaN
Glyptodon,sellowi,2.588,0.781,1,0,NaN
Glyptodon,sp.,15.500,0.02084,20,0,NaN
Glyptostyla,lagunitensis,48.600,37.200,11,0,NaN
Glyptotherium,sp.,0.063,0.0589,2,0,NaN
Glypturus,sp.,23.030,15.970,1,0,NaN
Gnatusuchus,pebasensis,15.970,5.332,4,0,NaN
Gobichara,groeberi,70.600,66.043,2,2,0.2295
Gobichara,sp.,70.600,66.043,2,1,0.1399
Gomphodontosuchus,brasiliensis,235.000,205.600,1,1,0.3333
Gomphodontosuchus,sp.,235.000,205.600,1,0,NaN
Gomphonchus,pluriformis,416.000,391.900,1,0,NaN
Gondwanapleuropholis,longimaxillaris,201.600,145.500,1,0,NaN
Gondwanasuchus,scabrosus,84.900,66.043,1,0,NaN
Gondwanatitan,faustoi,84.900,66.043,1,1,1.0000
Gondwanatitan,sp.,89.300,66.043,1,1,1.0000
Gracilinanus,sp.,2.588,0.000,2,0,NaN
Grallator,sp.,221.500,130.000,3,3,1.0000
Granastrapotherium,snorki,16.300,11.800,16,0,NaN
Griphodon,peruvianus,48.600,37.200,1,0,NaN
Griphodon,sp.,43.44,43.44,1,0,NaN
Griphotherion,peiranoi,48.600,37.200,1,1,0.5000
Gryllites,vocalis,66.043,55.800,1,1,0.5000
Gryposuchus,colombianus,16.300,11.800,8,0,NaN
Gryposuchus,croizati,11.608,5.332,3,0,NaN
Gryposuchus,jessei,11.608,7.246,3,0,NaN
Gryposuchus,pachakamue,15.970,5.332,6,0,NaN
Gryposuchus,sp.,11.608,0.012,4,0,NaN
Guaibasaurus,candelariensis,221.500,205.600,2,2,0.1508
Guaibasaurus,sp.,221.500,205.600,1,1,0.1667
Guatteria,ackermannii,23.030,15.970,1,0,NaN
Guatteria,basilata,23.030,15.970,1,0,NaN
Gueragama,sulamericana,94.300,70.600,1,0,NaN
Guggenheimia,brasiliensis,58.700,48.600,1,0,NaN
Guggenheimia,crocheti,58.700,48.600,1,0,NaN
Guiomys,unica,13.2,12.9,2,0,NaN
Gygis,alba,0.012,0.000,4,0,NaN
Gymnogeophagus,eocenicus,55.800,33.900,1,0,NaN
Gymnomystax,mexicanus,0.02798,0.0255,1,1,0.0127
Gyracanthus,seriponensis,416.000,391.900,1,0,NaN
Gyracanthus,sp.,416.000,391.900,1,0,NaN
Gyriabrus,royoi,11.608,3.600,1,0,NaN
Gyriabrus,sp.,9.000,7.246,2,0,NaN
Gyrinodon,quassus,5.332,2.588,1,0,NaN
Gyrinodon,quasus,11.608,7.246,1,0,NaN
Gyrinodon,sp.,11.608,5.332,3,0,NaN
Gyrodus,cordillera,164.700,155.700,1,1,1.0000
Hadrokirus,martini,6.35,5.47,1,1,0.0909
Hadrosaurichnus,australis,70.600,66.043,1,1,1.0000
Hadrosaurichnus,titicacaensis,84.900,66.043,1,1,0.3333
Haemulon,aurolineatus,23.030,15.970,1,0,NaN
Haemulon,sp.,23.030,15.970,1,0,NaN
Halisaurus,sp.,85.800,84.900,1,1,1.0000
Hapalops,angustipalatus,13.2,12.9,1,0,NaN
Hapalops,sp.,16.300,7.246,4,0,NaN
Haplomastodon,chimborazi,0.781,0.012,10,0,NaN
Haplomastodon,guayasensis,0.781,0.012,1,0,NaN
Haplomastodon,waringi,2.588,0.012,3,0,NaN
Harengula,clupeola,23.030,15.970,1,0,NaN
Hastigerinella,eocenica,37.200,33.900,1,0,NaN
Haustellum,pennae,23.030,15.970,2,0,NaN
Haynesina,sp.,15.970,5.332,1,1,0.0066
Hechtophis,austrinus,58.700,48.600,1,1,0.1233
Hechtophis,sp.,58.700,48.600,1,1,0.0599
Hecticoceras,sp.,164.700,161.200,1,0,NaN
Hedbergella,sp.,70.600,66.043,1,0,NaN
Hegetotherium,cerdasensis,15.500,10.7,3,0,NaN
Hegetotherium,mirabile,17.500,16.300,1,0,NaN
Hegetotherium,sp.,29.000,21.000,1,0,NaN
Heinzia,sp.,130.000,125.450,1,0,NaN
Hemiauchenia,paradoxa,1.200,0.012,8,0,NaN
Hemiauchenia,sp.,0.781,0.012,1,0,NaN
Hemicytherura,sp.,15.970,5.332,1,1,0.0361
Hemihegetotherium,robustum,6.800,3.000,1,0,NaN
Hemihegetotherium,torresi,9.000,6.800,1,0,NaN
Hemihegetotherium,trilobus,13.2,12.9,1,0,NaN
Hemipristis,serra,23.030,7.246,9,0,NaN
Hemisyntrachelus,oligodon,6.35,5.47,1,1,0.0455
Henricosbornia,sp.,58.700,48.600,1,0,NaN
Hepatella,amazonica,23.030,15.970,2,0,NaN
Heptranchias,perlo,1.806,0.781,1,0,NaN
Here,glenni,23.030,15.970,3,0,NaN
Herminespina,mirabilis,3.600,2.588,1,0,NaN
Herminespina,sp.,6.35,5.47,1,0,NaN
Hesperogavialis,cruxenti,11.608,5.332,3,0,NaN
Hesperogavialis,sp.,11.608,7.246,1,0,NaN
Hesperogavialis,"sp. 1",11.608,7.246,1,0,NaN
Hesperogavialis,"sp. 2",11.608,7.246,1,0,NaN
Heterodontus,sp.,11.608,7.246,2,0,NaN
Heteromys,anomalus,0.02798,0.0255,1,0,NaN
Hilarcotherium,miyou,16.33,15.43,1,0,NaN
Hilarcotherium,sp.,15.970,11.608,1,0,NaN
Himantopus,mexicanus,0.126,0.012,1,0,NaN
Hindsiclava,consors,23.030,15.970,3,0,NaN
Hippidion,bonaerensis,2.588,0.781,1,0,NaN
Hippidion,devillei,3.600,0.781,5,0,NaN
Hippidion,peruanum,2.588,0.012,1,0,NaN
Hippidion,principale,2.588,0.012,4,0,NaN
Hippidion,saldiasi,3.600,0.012,2,0,NaN
Hippidion,sp.,3.600,0.012,10,0,NaN
Hippocamelus,sp.,2.588,0.781,1,0,NaN
Hirtella,berryana,23.030,15.970,1,0,NaN
Hiskatherium,saintandrei,13.2,12.9,1,1,1.0000
Histocidaris,sp.,23.030,15.970,1,0,NaN
Hoazinoides,magdalenae,16.300,5.332,2,0,NaN
Hoffstetterella,brasiliensis,58.700,48.600,2,2,0.0048
Hoffstetterius,imperator,9.000,6.800,1,0,NaN
Holmanella,valmonteensis,15.970,5.332,1,1,0.0012
Holmanella,valmontensis,15.970,5.332,1,1,0.0066
Holmesina,floridianus,2.588,0.781,1,0,NaN
Holmesina,occidentalis,0.781,0.5,2,0,NaN
Holmesina,paulacoutoi,0.063,0.015,6,0,NaN
Holmesina,rondoniensis,0.126,0.012,1,0,NaN
Holmesina,sp.,2.588,0.012,1,0,NaN
Holochilus,brasiliensis,0.126,0.012,2,0,NaN
Holochilus,primigenus,2.588,0.781,1,0,NaN
Holochilus,sciureus,0.02798,0.0255,1,0,NaN
Homalonotus,bistrami,460.900,449.500,1,0,NaN
Homalopoma,sp.,23.030,7.246,2,0,NaN
Homalostylops,atavus,58.700,48.600,1,0,NaN
Homarus,meridionalis,11.608,7.246,1,0,NaN
Homotherium,venezuelensis,1.0,0.5,1,0,NaN
Homunculus,sp.,13.800,11.800,1,0,NaN
Hondadelphys,fieldsi,16.300,11.800,6,0,NaN
Hondalagus,altiplanensis,13.2,12.8,2,1,1.0000
Hondathentes,cazador,16.300,15.500,1,0,NaN
Hondonadia,pittmanae,37.200,33.900,1,1,0.0364
Hoplias,sp.,66.043,61.700,1,0,NaN
Hoplitosuchus,raui,235.000,205.600,2,1,0.3333
Hoplophorus,echazui,2.588,0.781,1,0,NaN
Hoplophorus,sp.,1.0,0.5,2,0,NaN
Hoplophractus,proximus,6.800,3.000,1,0,NaN
Hortia,paraensis,23.030,15.970,1,0,NaN
Huaridelphis,raimondii,20.430,15.970,1,0,NaN
Huilatherium,pluripicatum,13.800,11.800,10,0,NaN
Hybodus,sp.,145.500,99.700,1,0,NaN
Hydrarctos,lomasiensis,6.35,5.47,2,1,0.1250
Hydrochoeropsis,dasseni,3.600,2.588,1,0,NaN
Hydrochoeropsis,fontanai,3.600,2.588,1,0,NaN
Hydrochoerus,ballesterensis,3.600,2.588,1,0,NaN
Hydrochoerus,hydrochaeris,2.588,0.781,2,0,NaN
Hydrochoerus,sp.,2.588,0.012,2,0,NaN
Hydrolycus,sp.,43.44,10.000,11,0,NaN
Hygophum,hygomi,23.030,15.970,1,0,NaN
Hylophilus,flavipes,0.02798,0.0255,1,1,0.0064
Hyotissa,haitensis,23.030,15.970,2,0,NaN
Hyperleptus,sp.,16.33,15.43,1,0,NaN
Hyperodapedon,huenei,235.000,205.600,1,1,0.5000
Hyperodapedon,mariensis,235.000,205.600,2,0,NaN
Hyperodapedon,sanjuanensis,221.500,205.600,3,0,NaN
Hyperodapedon,sp.,235.000,205.600,19,2,1.0000
Hyponyx,sp.,55.800,48.600,1,0,NaN
Hypoprion,sp.,23.030,15.970,1,0,NaN
Hyporamphus,unifasciatus,23.030,15.970,1,0,NaN
Hyposaurus,derbianus,66.043,61.700,1,0,NaN
Hypsitherium,bolivianum,4,3.3,1,0,NaN
Icadyptes,salasi,37.200,33.900,1,1,1.0000
Ichthyosaurus,quenstedti,164.700,161.200,1,0,NaN
Ichthyosaurus,sp.,175.600,150.800,5,1,1.0000
Icterus,spurius,0.02798,0.0255,1,1,0.0127
Idmonea,sp.,23.030,15.970,1,0,NaN
Ikanogavialis,gameroi,15.970,5.332,3,0,NaN
Ilexpollenites,sp.,23.030,15.970,1,0,NaN
Illisha,sp.,23.030,15.970,1,0,NaN
Ilyocypris,lusitanica,43.44,43.44,2,2,1.0000
Ilyocypris,setembrinopetrii,70.600,66.043,1,1,0.1176
Ilyocypris,"sp. 1",70.600,66.043,1,1,0.0196
Ilyocythere,gibba,15.970,5.332,1,1,0.0492
Incacetus,broggii,23.030,20.430,1,0,NaN
Incadelphys,antiquus,66.043,61.700,1,0,NaN
Incadolops,ucayali,37.200,33.900,1,1,0.0182
Incakujira,anillodefuego,7.5,7.3,1,1,0.1111
Incamys,bolivianus,29.000,21.000,4,2,0.0306
Incatella,hupei,15.970,11.608,1,0,NaN
Indalecia,grandensis,48.600,37.200,1,1,0.2222
Indopacetus,pacificus,0.012,0.000,1,0,NaN
Inia,araguaiaensis,0.012,0.000,1,1,1.0000
Inia,geofferensis,0.012,0.000,1,0,NaN
Inia,geoffrensis,0.012,0.000,1,0,NaN
Inia,sp.,0.045,0.045,1,0,NaN
Inkayacu,paracasensis,37.2,35.7,1,0,NaN
Inticetus,vertizi,20.430,15.970,1,1,1.0000
Intiornis,inexpectatus,84.900,70.600,1,0,NaN
Iphigenia,ferreirai,23.030,15.970,1,0,NaN
Irajatherium,hernandezi,221.500,205.600,2,2,0.2132
Irritator,challengeri,112.600,99.700,1,1,1.0000
Ischyrhiza,hartenbergeri,70.600,66.043,1,1,0.1882
Ischyrhiza,sp.,84.900,66.043,1,0,NaN
Ischyrorhynchus,sp.,11.608,7.246,2,1,1.0000
Ischyrorhynchus,vanbenedeni,11.608,7.246,5,3,0.7937
Isistius,triangulus,11.608,3.600,1,0,NaN
Isostylomys,intermedius,6.800,4.000,1,0,NaN
Isurus,novus,23.030,15.970,3,0,NaN
Isurus,oxyrinchus,20.430,0.781,5,0,NaN
Isurus,sp.,15.970,11.608,1,0,NaN
Itaboraidelphys,camposi,58.700,48.600,1,1,0.1628
Itaboraiophis,depressus,58.700,48.600,1,0,NaN
Itaboravis,elaphrocnemoides,58.700,48.600,1,0,NaN
Itaimbeia,sp.,70.600,66.043,1,0,NaN
Itapeuasaurus,cajapioensis,99.700,94.300,1,0,NaN
Itapyrodus,punctatus,290.100,279.500,1,0,NaN
Itasuchus,jesuinoi,70.600,66.043,1,1,0.2500
Itasuchus,sp.,84.900,66.043,1,0,NaN
Itatamba,paraima,265.000,259.000,1,0,NaN
Ixalerpeton,polesinensis,235.000,205.600,1,1,0.2000
Jachaleria,candelariensis,221.500,205.600,1,1,0.6667
Jaskhadelphys,minutus,66.043,61.700,1,0,NaN
Karreriella,sp.,15.970,5.332,2,2,0.0191
Kataria,anisodonta,66.043,61.700,1,1,0.5000
Kentriodon,pernix,20.430,15.970,1,0,NaN
Keresdrakon,vilsoni,94.300,70.600,1,1,1.0000
Khasia,cordillerensis,66.043,61.700,1,0,NaN
Kichkasteiromys,raimondii,33.900,28.400,1,0,NaN
Kiotomops,lopezi,13.800,11.800,1,0,NaN
Kirutherium,paititiensis,37.200,33.900,1,1,0.0182
Kiruwamaq,chisu,37.200,33.900,1,1,0.0182
Kiyumylodon,lecuonai,11.608,5.332,1,0,NaN
Kogia,breviceps,0.012,0.000,2,0,NaN
Konzhukovia,"new species",268.000,254.000,1,0,NaN
Konzhukovia,sangabrielensis,268.000,259.000,1,1,0.3333
Koristocetus,pescei,7.5,7.3,1,1,0.0556
Kosmoceras,dunkeri,164.700,161.200,1,0,NaN
Kosmoceras,sp.,164.700,155.700,2,0,NaN
Kraglievichia,sp.,11.608,7.246,1,0,NaN
Kronosaurus,boyacensis,122.460,112.600,1,1,1.0000
Kunsia,fronto,2.588,0.781,1,0,NaN
Kunsia,tomentosus,2.588,0.000,1,0,NaN
Kuntinaru,boliviensis,29.000,21.000,2,1,0.0037
Kuntur,cardenasi,11.608,7.246,1,1,1.0000
Kuttanacaiman,iquitosensis,15.970,11.608,3,0,NaN
Labidiosuchus,amicum,70.600,66.043,1,0,NaN
Lactarius,atlanticus,23.030,15.970,1,0,NaN
Laevicardium,serratum,23.030,15.970,4,0,NaN
Lagenodelphis,hosei,0.012,0.000,2,0,NaN
Lagidium,sp.,0.01962,0.01415,1,0,NaN
Lagostomus,maximus,0.781,0.012,1,0,NaN
Lagostomus,pretrichodactyla,9.000,6.800,1,0,NaN
Lagostomus,sp.,9.000,0.012,9,1,0.5000
Lakukullus,anatisrostratus,13.2,12.9,1,0,NaN
Lama,castelnaudi,2.588,0.781,1,0,NaN
Lama,glama,2.588,0.781,1,0,NaN
Lama,gracilis,0.126,0.012,2,0,NaN
Lama,guanicoe,0.781,0.012,4,0,NaN
Lama,intermedia,2.588,0.781,1,0,NaN
Lama,mesolithica,2.588,0.781,1,0,NaN
Lama,oweni,2.588,0.781,1,0,NaN
Lama,provicugna,2.588,0.781,1,0,NaN
Lama,sp.,0.02084,0.01415,4,0,NaN
Lamegoia,conodonta,58.700,48.600,1,0,NaN
Lamelliconcha,baldryi,48.600,37.200,1,0,NaN
Lamna,amplibasidens,11.608,7.246,1,0,NaN
Lamna,serra,99.700,66.043,1,0,NaN
Lamna,serridens,11.608,7.246,1,0,NaN
Lamna,unicuspidens,11.608,7.246,1,0,NaN
Lamniconus,lemniscatus,0.126,0.012,1,0,NaN
Lamprothamnium,sp.,66.043,55.800,1,0,NaN
Lamprothamnium,spititatum,48.600,37.200,1,0,NaN
Lanceirosphenodon,ferigoloi,221.500,205.600,1,1,0.0227
Langstonia,sp.,23.030,15.970,1,0,NaN
Laoporus,sp.,125.450,112.600,1,1,1.0000
Lapazomys,hartenbergeri,29.000,21.000,2,0,NaN
Laquintasaura,venezuelae,200.91,200.91,1,0,NaN
Larimus,henrii,23.030,15.970,1,0,NaN
Larimus,steubauti,23.030,15.970,1,0,NaN
Larosterna,inca,0.126,0.012,1,0,NaN
Larus,pipixcan,0.126,0.012,1,0,NaN
Latinopollia,suarezi,70.600,66.043,1,0,NaN
Lectavis,bretincola,70.600,66.043,1,0,NaN
Leguminocythereis,sp.,15.970,5.332,1,1,0.0426
Leiosaurus,marellii,0.781,0.126,1,1,1.0000
Leivanectes,bernardoi,122.460,112.600,1,1,1.0000
Lenticeras,baltai,84.900,66.043,1,1,0.5000
Lenticulina,sp.,84.900,66.043,1,0,NaN
Leontinia,gaudryi,29.000,23.030,1,0,NaN
Leopardus,braccatus,2.588,0.000,1,0,NaN
Leopardus,tigrinus,0.126,0.000,1,0,NaN
Lepidosiren,paradoxa,70.600,37.200,5,2,0.1534
Lepidosiren,sp.,11.608,7.246,2,0,NaN
Lepidotes,sp.,164.700,99.700,7,0,NaN
Lepidotes,wenzae,112.600,109.000,1,1,0.0213
Lepidotyle,enigmatica,70.600,48.600,2,0,NaN
Lepisosteus,cominatoi,70.600,66.043,2,0,NaN
Lepisosteus,sp.,70.600,61.700,2,0,NaN
Lepitodes,sp.,145.500,99.700,1,0,NaN
Leporinus,sp.,43.44,10.000,11,0,NaN
Leptonycteris,curasoae,0.012,0.000,1,0,NaN
Leptopecten,latiaurata,23.030,15.970,2,0,NaN
Leptorramphus,entrerrianus,11.608,7.246,1,0,NaN
Lessemsaurus,sauropoides,221.500,205.600,1,1,1.0000
Lestobradys,sprechmanni,11.608,5.332,1,0,NaN
Lestodon,armatus,2.588,0.02084,8,0,NaN
Lestodon,castellanosi,3.600,2.588,1,0,NaN
Lestodon,sp.,0.781,0.012,5,0,NaN
Lestodon,urumaquensis,11.608,5.332,1,0,NaN
Leucophaeus,atricilla,0.012,0.000,3,3,0.0169
Leyvachelys,cipadi,130.000,122.460,1,1,1.0000
Lichenopora,grignonensis,23.030,15.970,2,0,NaN
Ligabueichnium,bolivianum,84.900,70.600,1,1,0.0833
Lima,graptea,23.030,15.970,3,0,NaN
Lima,sp.,164.700,161.200,2,0,NaN
Limosa,fedoa,0.126,0.012,1,0,NaN
Linga,glomeramen,23.030,15.970,2,0,NaN
Lirophora,agraria,23.030,15.970,5,0,NaN
Lirophora,paphia,23.030,15.970,3,0,NaN
Lissoceras,sp.,164.700,161.200,1,0,NaN
Lithapium,sp.,37.200,33.900,1,0,NaN
Lithocyclia,aristotelis,37.200,33.900,1,0,NaN
Lithocyclia,ocellus,37.200,33.900,1,0,NaN
Lithophaga,ostricola,11.608,7.246,1,0,NaN
Lithothamnion,sp.,55.800,33.900,1,0,NaN
Littorina,gigantea,11.608,7.246,1,0,NaN
Littorina,sp.,23.030,15.970,1,0,NaN
Livyatan,melvillei,11.608,7.246,1,1,0.1000
Llanosuchus,tamaensis,84.900,70.600,1,0,NaN
Llullataruca,shockeyi,15.500,12.8,2,0,NaN
Lobatus,gigas,23.030,15.970,1,0,NaN
Lobipes,lobatus,0.126,0.012,1,0,NaN
Lomacetus,ginsburgi,7.5,7.3,1,0,NaN
Lomacetus,sp.,11.608,7.246,1,0,NaN
Lomaphorus,sp.,1.200,0.012,3,0,NaN
Lophiodolodus,chaparralensis,23.030,15.970,1,0,NaN
Lophostoma,silvicolum,0.02798,0.0255,1,0,NaN
Loretomys,minutus,28.400,23.030,1,0,NaN
Lorosuchus,nodosus,58.700,55.800,1,0,NaN
Luangwa,sudamericana,247.200,235.000,1,1,1.0000
Lucina,frugalis,23.030,15.970,1,0,NaN
Lucina,pectinata,23.030,15.970,1,0,NaN
Lucina,querida,23.030,15.970,1,0,NaN
Lucina,sp.,164.700,161.200,1,0,NaN
Lucina,tenella,55.800,15.970,2,0,NaN
Lucinisca,fluctivaga,23.030,15.970,1,0,NaN
Lucinisca,luciniolae,23.030,15.970,1,0,NaN
Lucinopsis,concentricum,11.608,7.246,1,0,NaN
Lumbrerasaurus,scagliai,48.600,37.200,1,1,0.3333
Lumbreratherium,oblitum,48.600,37.200,1,0,NaN
Lunatia,lunula,23.030,15.970,3,0,NaN
Lunatia,modica,23.030,15.970,1,0,NaN
Lunulites,pileolus,23.030,15.970,5,0,NaN
Lunulites,pirabicus,23.030,15.970,2,0,NaN
Luribayomys,masticator,29.000,21.000,2,1,0.0018
Lutreolina,crassicaudata,2.588,0.781,1,0,NaN
Lutreolina,sp.,5.332,2.588,1,0,NaN
Lychnocanoma,bellum,37.200,33.900,1,0,NaN
Lychnothamnus,major,48.600,37.200,1,0,NaN
Lychnothamnus,sp.,48.600,37.200,2,0,NaN
Lychnothamnus,tenuis,48.600,37.200,1,0,NaN
Lycopsis,longirostrus,16.300,11.800,2,0,NaN
Lycopterocypris,angulata,70.600,66.043,1,1,0.0280
Lyria,musicinoides,23.030,15.970,1,0,NaN
Lytoceras,sp.,130.000,125.450,1,1,0.2500
Maaradactylus,kellneri,125.450,99.700,1,1,1.0000
Machlydotherium,sp.,48.600,37.200,1,0,NaN
Macranhinga,ranzii,11.608,7.246,1,0,NaN
Macrauchenia,minor,6.800,4.000,1,0,NaN
Macrauchenia,patagonica,1.200,0.12,15,0,NaN
Macrauchenia,sp.,,0.012,5,0,NaN
Macrauchenia,ullomensis,2.588,0.781,2,0,NaN
Macrocalista,maculata,23.030,15.970,2,0,NaN
Macrocallista,maculata,23.030,15.970,2,0,NaN
Macrocavia,simpsoni,3.600,2.588,1,0,NaN
Macrocephalites,sp.,164.700,155.700,3,0,NaN
Macrochorobates,chapalmalensis,11.608,2.588,1,0,NaN
Macrochorobates,scalabrinii,9.000,6.800,1,0,NaN
Macrochorobates,sp.,9.000,6.800,1,0,NaN
Macrocollum,itaquii,221.500,205.600,1,0,NaN
Macroeuphractus,moreni,5.332,4.000,2,0,NaN
Macroeuphractus,outesi,5.332,2.588,1,0,NaN
Macroeuphractus,sp.,5.332,3.600,1,0,NaN
Macrophragma,subvarians,23.030,15.970,1,0,NaN
Macrosqualodelphis,ukupachai,18.78,18.78,1,1,1.0000
Mactra,chipolana,23.030,15.970,3,0,NaN
Madtsoia,camposi,58.700,48.600,1,1,0.3716
Makaira,sp.,20.430,15.970,1,0,NaN
Malacoptila,sp.,0.02798,0.0255,1,1,0.0064
Manzonia,apudina,23.030,15.970,4,0,NaN
Margarita,punctulata,11.608,7.246,1,0,NaN
Margarites,striatus,11.608,7.246,1,0,NaN
Marginella,acuta,23.030,15.970,1,0,NaN
Marginella,ceresis,23.030,15.970,1,0,NaN
Marginella,crassiplicata,23.030,15.970,1,0,NaN
Marginella,estaciana,23.030,15.970,1,0,NaN
Marginella,multiplicata,23.030,15.970,1,0,NaN
Marginella,paraensis,23.030,15.970,1,0,NaN
Marginella,perlatens,23.030,15.970,1,0,NaN
Marginella,pirabica,23.030,15.970,1,0,NaN
Marginella,truncata,23.030,15.970,1,0,NaN
Marginulina,sp.,84.900,66.043,1,0,NaN
Marisela,gregoriana,2.588,0.781,1,1,0.1667
Marmosa,sp.,13.800,0.000,2,0,NaN
Marmosopsis,juradoi,58.700,48.600,1,0,NaN
Martinavis,minor,70.600,66.043,1,0,NaN
Martinavis,saltariensis,70.600,66.043,1,0,NaN
Martinavis,sp.,70.600,66.043,1,1,0.2222
Martinavis,vincei,70.600,66.043,1,0,NaN
Martinavis,whetstonei,70.600,66.043,1,0,NaN
Martinmiguelia,fernandezi,48.600,37.200,1,1,1.0000
Massetognathus,ochagaviae,242.000,221.500,3,1,0.5000
