collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,10_my_bin
13307,ETE,"J. Hunter",,Martinavis,"n. sp.",vincei,,Aves,,indet.,55175,"Cretaceous 8"
13404,PaleoDB,"M. Uhen",,Metaxytherium,,crataegense,,Metaxytherium,,calvertense,6027,"Cenozoic 5"
13501,Fossilworks,"J. Alroy","n. gen.",Roberthoffstetteria,"n. sp.",nationalgeographica,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Szalinia,"n. sp.",gracilis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Alcidedorbignya,"n. sp.",inopinata,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Pucadelphys,"n. sp.",andinus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Mayulestes,"n. sp.",ferox,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Allqokirus,"n. sp.",australis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Andinodelphys,"n. sp.",cochabambensis,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Molinodus,,suarezi,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Tiuclaenus,"n. sp.",minutus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy","n. gen.",Tiuclaenus,"n. sp.",minutus,"n. gen.",Kollpania,"n. sp.",tiupampina,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Tiuclaenus,"n. sp.",cotasi,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Tiuclaenus,"n. sp.",robustus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Pucanodus,,gagnieri,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Simoclaenus,,sylvaticus,,,,,6116,"Cenozoic 1"
13501,Fossilworks,"J. Alroy",,Enchodus,,oliveirai,,,,,6116,"Cenozoic 1"
